image,niqe_bicubic,niqe_otf,niqe_otf_hard,niqe_otf_soft,niqe_paired,niqe_paired_hard_12000,niqe_paired_hard_20000,niqe_paired_soft_2000,niqe_paired_soft_20000
PANSHARP_Norte_RGB_8bit__R58__C82,6.82563079292926,4.54322358689039,3.81829397859792,5.01884590797463,5.05762843752295,4.82735372517798,4.82491169670621,4.84919868735044,5.09938588078509
PANSHARP_Norte_RGB_8bit__R58__C83,6.34157070310718,5.63463416755493,4.1515709221636,6.10454334762876,5.01414020990774,4.62477263699251,4.80793004063408,5.00917407891925,5.38734378366861
PANSHARP_Norte_RGB_8bit__R58__C84,5.80267149095381,4.17111823803821,3.80712686404072,5.53119643065698,4.79955830652882,4.26324065013918,4.30303343684061,4.64326582298449,4.88227617978364
PANSHARP_Norte_RGB_8bit__R58__C85,6.47842061870636,4.35660284653958,3.90690025828624,5.34752146911145,5.15503571494326,4.91816492502912,4.94568498348635,4.91664222270412,5.0954264924397
PANSHARP_Norte_RGB_8bit__R58__C86,6.14129265211543,4.20572211391723,3.51174030678396,5.28022373066296,4.4600754528225,3.92147939924652,4.06639578713369,4.27744670971312,4.28489203736315
PANSHARP_Norte_RGB_8bit__R69__C61,6.24344129919671,5.41886777022105,4.6999513171509,6.03896908795961,5.29600540601451,5.06237460115306,4.92409383549318,5.49628275678187,5.23191889803286
PANSHARP_Norte_RGB_8bit__R69__C62,6.9314111525981,5.08587180054322,4.93574801025563,5.74962906858105,5.03387852178094,5.06187485081242,4.92863237092327,5.22103350755875,5.20512471107857
PANSHARP_Norte_RGB_8bit__R69__C63,6.75707825342544,5.33760895076333,5.06264036446017,6.68063834082909,5.3699816640962,5.29195858215338,5.3835345025102,5.38839767843247,5.73827514582091
PANSHARP_Norte_RGB_8bit__R69__C64,6.16655274604987,4.66015535004594,4.31928120655354,5.93265013809385,4.83403214738985,4.48639798253961,4.54705071008611,4.86035325495901,5.0995221954944
PANSHARP_Suroeste_RGB_8bit__R10__C43,5.60985251036861,4.911695925022,4.28476345785219,5.19470933090195,5.48342368521267,5.21492310492731,5.39154915757947,5.43769521768845,5.55077830788596
PANSHARP_Suroeste_RGB_8bit__R10__C45,6.87466996700161,5.30742237377618,5.22960180758561,6.02402865246093,5.40948084652482,5.26889500964093,5.49199626773339,5.54046813085093,5.86450193008376
PANSHARP_Suroeste_RGB_8bit__R12__C25,5.39104705173271,4.14393264466907,4.16528897504657,4.84629166655908,4.98057420443307,5.51001360003808,5.56683084330853,5.28202212470618,5.13577971867413
PANSHARP_Suroeste_RGB_8bit__R28__C45,6.71699836752641,5.60046504688681,5.17256681812526,5.96653404602478,5.94824461113228,5.71402853467653,5.64863753953188,5.95556581833075,6.01919567764019
PANSHARP_Suroeste_RGB_8bit__R36__C8,6.03873336528054,5.25222249895348,4.33227562571627,5.50644836260793,5.60157313751846,5.11173361765619,4.97112719189443,5.26500439930856,5.45413306842802
PANSHARP_Suroeste_RGB_8bit__R36__C9,6.10551009611467,5.59225797887641,4.37405158656442,6.03155987524277,5.45986594011679,4.92717990500136,4.96207256404452,5.01240980550638,5.53116092732896
PANSHARP_Suroeste_RGB_8bit__R41__C40,8.1037058839966,7.98896298716717,7.12494438794793,7.75627392153271,7.59774120704588,7.52910003171111,7.41241060731618,7.39468476661421,8.30165679425704
PANSHARP_Suroeste_RGB_8bit__R52__C4,4.65357559263701,3.99796589180886,3.22762309752023,3.91407452306209,4.60047089842514,4.54786348054513,4.62616205983512,4.89403409181528,4.32015855991856
PANSHARP_Suroeste_RGB_8bit__R52__C40,6.53096443899322,6.24503863193606,5.50774256724517,6.67278100412162,6.20865787323993,6.6146586989829,6.82272214629097,6.41789336870892,6.54569812264659
PANSHARP_Suroeste_RGB_8bit__R52__C41,6.82266476362298,5.2241179624161,4.7011407792494,5.8610097412107,5.78368726738376,5.38412128894162,5.16987452226023,5.95668911229537,6.16159327470154
PANSHARP_Suroeste_RGB_8bit__R52__C42,5.44016693006583,4.54057060953618,3.53853874008419,5.21334536359224,4.1718651055206,4.28391199024213,4.21939551627973,4.35129347018038,4.51714725035858
PANSHARP_Suroeste_RGB_8bit__R52__C5,5.07130389153522,3.74539604222836,3.40937362415292,4.23420148544874,3.87266265594166,4.11258599222321,4.11273463628357,4.31286398097108,4.05499526105883
PANSHARP_Suroeste_RGB_8bit__R53__C40,7.21076806504958,5.96275489137936,5.69749164112249,6.40553293270693,6.50122861136478,6.62061654360451,6.86608436932006,6.69569758058376,7.0344060566919
PANSHARP_Suroeste_RGB_8bit__R55__C38,6.73739947090707,6.07778443373922,5.35107033115961,6.31534558159208,6.35308831156,6.17095721711637,6.25230024452619,6.17894535055653,6.74330230884408
PANSHARP_Suroeste_RGB_8bit__R55__C39,6.1835304986067,6.09187308992376,5.00761788720257,6.88503605295886,6.85250864511928,5.88063371125594,5.48284454974232,6.55436873825221,6.22708197317689
PANSHARP_Suroeste_RGB_8bit__R55__C40,6.22728949610179,6.8986546629896,6.09518016587948,8.07106727118655,5.6938815359447,6.10431760615192,6.13121394178382,5.96106374752127,6.44749540604582
AVERAGE,6.296250003944908,5.2397968198329,4.61730098882988,5.863298293308335,5.421571615899624,5.258126307438361,5.274368940861765,5.434899776931752,5.59732999848831
