image,psnr,ssim,dists,niqe
PANSHARP_Norte_RGB_8bit__R58__C82,19.75210990463623,0.8433071970939636,0.06812947988510132,5.09938588078509
PANSHARP_Norte_RGB_8bit__R58__C83,20.81754269348513,0.856593906879425,0.07901620864868164,5.38734378366861
PANSHARP_Norte_RGB_8bit__R58__C84,25.94188521216069,0.8858518004417419,0.08478671312332153,4.88227617978364
PANSHARP_Norte_RGB_8bit__R58__C85,23.443161890979155,0.866716206073761,0.07535701990127563,5.0954264924397
PANSHARP_Norte_RGB_8bit__R58__C86,22.050720833967645,0.867994487285614,0.0921487808227539,4.28489203736315
PANSHARP_Norte_RGB_8bit__R69__C61,24.689466816409904,0.8786395192146301,0.06356358528137207,5.23191889803286
PANSHARP_Norte_RGB_8bit__R69__C62,22.791869786811056,0.8661697506904602,0.07839393615722656,5.20512471107857
PANSHARP_Norte_RGB_8bit__R69__C63,25.203483211978067,0.8821010589599609,0.07372403144836426,5.73827514582091
PANSHARP_Norte_RGB_8bit__R69__C64,26.531103014563403,0.87860107421875,0.07927364110946655,5.0995221954944
PANSHARP_Suroeste_RGB_8bit__R10__C43,16.789924447472323,0.6874620318412781,0.07752090692520142,5.55077830788596
PANSHARP_Suroeste_RGB_8bit__R10__C45,16.422916097623347,0.7192786335945129,0.08446532487869263,5.86450193008376
PANSHARP_Suroeste_RGB_8bit__R12__C25,20.086952828926865,0.7213094830513,0.10635977983474731,5.13577971867413
PANSHARP_Suroeste_RGB_8bit__R28__C45,22.716191401824833,0.8378939628601074,0.08531308174133301,6.01919567764019
PANSHARP_Suroeste_RGB_8bit__R36__C8,25.154119367460062,0.8633167147636414,0.08703511953353882,5.45413306842802
PANSHARP_Suroeste_RGB_8bit__R36__C9,25.826990045692888,0.8552448749542236,0.08365178108215332,5.53116092732896
PANSHARP_Suroeste_RGB_8bit__R41__C40,16.177791968950736,0.7187861800193787,0.10908961296081543,8.30165679425704
PANSHARP_Suroeste_RGB_8bit__R52__C4,15.833185137051577,0.6383203864097595,0.0814598798751831,4.32015855991856
PANSHARP_Suroeste_RGB_8bit__R52__C40,17.272687794479864,0.7372592091560364,0.09237289428710938,6.54569812264659
PANSHARP_Suroeste_RGB_8bit__R52__C41,20.519191301836294,0.7884572148323059,0.08553898334503174,6.16159327470154
PANSHARP_Suroeste_RGB_8bit__R52__C42,23.753696674791435,0.8374597430229187,0.07523238658905029,4.51714725035858
PANSHARP_Suroeste_RGB_8bit__R52__C5,16.503778728968676,0.6661683917045593,0.07686728239059448,4.05499526105883
PANSHARP_Suroeste_RGB_8bit__R53__C40,17.280012365359667,0.741097629070282,0.09285509586334229,7.0344060566919
PANSHARP_Suroeste_RGB_8bit__R55__C38,19.89922333328837,0.7772667407989502,0.0731545090675354,6.74330230884408
PANSHARP_Suroeste_RGB_8bit__R55__C39,18.46766518203262,0.7554582953453064,0.08490973711013794,6.22708197317689
PANSHARP_Suroeste_RGB_8bit__R55__C40,19.742438963013264,0.7951507568359375,0.09858429431915283,6.44749540604582
AVERAGE,20.946724360150565,0.7986362099647522,0.08355216264724731,5.59732999848831
